user_id,profile,monthly_incomes,mean_income,income_std,income_trend,fixed_expenses,cash_flow_health_ratio,num_income_sources,total_bills,on_time_payments,avg_delay_days,recharge_regularity,recurring_payments_detected,emi_consistency_score,total_transactions,txn_regularity_score,essential_ratio,has_recurring_savings,min_balance_maintained,avg_monthly_savings,platforms,tenure_months,platform_rating,active_days_per_month,shock_recovery_score,default
USR0247,risky,"[8893, 8366, 10893, 13964, 11132, 8761]",10334.83,1938.64,305.97,6310.89,0.3894,1,22,7,12.7,0.46,0,0.3,80,0.5283,0.831,0,0,346,"[""Dunzo""]",3,3.9,14,1.0,0
USR0248,good,"[35578, 38149, 41298, 37849, 36702, 35264]",37473.33,2012.22,-267.43,10184.51,0.7282,2,19,16,1.1,0.83,3,0.94,220,0.6939,0.7249,1,1,5269,"[""UrbanClap"", ""Ola""]",32,4.7,27,1.0,0
USR0249,good,"[43103, 41985, 40081, 42127, 42157, 44284]",42289.5,1268.46,241.91,15457.19,0.6345,2,22,19,1.2,0.83,4,0.82,207,0.5798,0.7258,1,1,5818,"[""Uber"", ""UrbanClap""]",46,4.4,25,1.0,0
USR0250,risky,"[11897, 18672, 18010, 18581, 16332, 15679]",16528.5,2352.77,356.03,11614.71,0.2973,1,15,7,9.7,0.33,0,0.11,75,0.5067,0.7215,0,0,317,"[""UrbanClap""]",5,3.7,11,1.0,1
USR0251,moderate,"[24620, 24266, 26337, 28050, 23859, 15000]",23688.67,4138.39,-1360.23,13641.32,0.4241,2,20,13,2.6,0.57,2,0.56,140,0.6109,0.7334,1,1,2253,"[""Zomato"", ""Dunzo""]",20,3.9,21,0.8333,0
USR0252,good,"[25736, 25092, 25347, 25520, 26431, 25591]",25619.5,415.4,99.0,6420.83,0.7494,2,20,18,0.2,0.94,4,0.87,200,0.676,0.7812,1,1,3521,"[""UrbanClap"", ""Dunzo""]",22,4.8,29,1.0,0
USR0253,good,"[26670, 25606, 23935, 26468, 28024, 24982]",25947.5,1304.08,38.49,10745.88,0.5859,2,20,18,1.0,0.92,3,0.84,220,0.6118,0.8146,1,1,7378,"[""Swiggy"", ""Uber""]",22,4.8,28,1.0,0
USR0254,moderate,"[21434, 22489, 17931, 28832, 23017, 22976]",22779.83,3217.93,577.0,10359.1,0.5453,3,23,15,6.9,0.54,1,0.52,131,0.5314,0.7398,1,1,2910,"[""UrbanClap"", ""Swiggy"", ""Uber""]",20,3.9,17,1.0,0
USR0255,risky,"[17154, 18688, 23115, 19330, 16339, 15237]",18310.5,2547.41,-583.34,14185.62,0.2253,1,12,3,12.7,0.22,0,0.21,78,0.5025,0.7803,0,0,97,"[""Uber""]",6,3.0,9,1.0,0
USR0256,risky,"[14671, 21487, 29893, 15983, 23637, 19414]",20847.5,5064.23,464.43,13607.46,0.3473,1,18,9,11.0,0.33,0,0.15,82,0.4896,0.7866,0,0,488,"[""Dunzo""]",8,3.8,6,0.5,0
USR0257,risky,"[8726, 11829, 9617, 5710, 10663, 16644]",10531.5,3326.82,919.57,6923.32,0.3426,1,14,7,8.6,0.33,0,0.32,97,0.6797,0.7381,0,0,15,"[""Uber""]",2,3.8,13,0.6667,1
USR0258,good,"[39071, 44632, 40039, 44612, 44760, 45498]",43102.0,2541.05,1059.77,12795.65,0.7031,1,20,18,0.5,0.84,4,0.88,202,0.6068,0.7305,1,1,7130,"[""UrbanClap""]",42,4.8,27,1.0,0
USR0259,good,"[20974, 21205, 20009, 20725, 21482, 22198]",21098.83,671.98,219.06,6254.6,0.7036,2,16,14,0.2,0.93,3,0.85,187,0.6727,0.8075,1,1,4055,"[""Swiggy"", ""Ola""]",22,5.0,25,1.0,0
USR0260,good,"[29707, 29628, 31261, 31042, 30972, 26810]",29903.33,1525.61,-304.91,12348.39,0.5871,1,22,21,0.8,0.87,4,0.89,193,0.6279,0.8004,1,1,6600,"[""Ola""]",43,4.6,29,1.0,0
USR0261,moderate,"[15185, 14749, 19036, 17973, 15979, 13339]",16043.5,1932.58,-188.66,6932.15,0.5679,3,22,17,4.8,0.63,2,0.61,126,0.5782,0.7986,0,1,2536,"[""Dunzo"", ""Swiggy"", ""Zomato""]",7,4.3,17,1.0,0
USR0262,moderate,"[21645, 31238, 26818, 32030, 33430, 24964]",28354.17,4212.25,810.94,14379.34,0.4929,2,21,16,5.2,0.57,1,0.73,141,0.4324,0.8056,1,0,2557,"[""Dunzo"", ""Zomato""]",13,3.9,16,1.0,0
USR0263,risky,"[11931, 10313, 13174, 17011, 13135, 13812]",13229.33,2034.83,620.23,9285.07,0.2981,1,21,10,7.1,0.3,0,0.2,85,0.4149,0.8124,0,0,431,"[""UrbanClap""]",10,3.0,7,1.0,1
USR0264,good,"[26787, 28422, 25303, 27243, 25100, 27207]",26677.0,1157.09,-169.31,9566.21,0.6414,2,17,16,1.7,0.95,3,0.99,191,0.6957,0.6762,1,1,3220,"[""Uber"", ""Dunzo""]",25,4.6,24,1.0,0
USR0265,good,"[19985, 20039, 20571, 21048, 20707, 18149]",20083.17,940.8,-191.4,5262.69,0.738,2,12,10,0.7,0.9,4,0.97,195,0.6429,0.7364,1,1,7175,"[""Zomato"", ""Dunzo""]",26,4.5,24,1.0,0
USR0266,moderate,"[22549, 29809, 29217, 20373, 21907, 26533]",25064.67,3656.45,-360.86,12989.72,0.4818,2,16,9,4.1,0.66,1,0.51,132,0.5367,0.7397,1,1,1945,"[""Ola"", ""Swiggy""]",15,3.9,15,0.5,1
USR0267,risky,"[16413, 16985, 17212, 8175, 16460, 10336]",14263.5,3606.48,-1171.34,11667.41,0.182,1,12,4,12.1,0.34,0,0.21,67,0.4443,0.7913,0,0,316,"[""Dunzo""]",9,3.1,12,0.6667,1
USR0268,good,"[35251, 34293, 33535, 31336, 33223, 32741]",33396.5,1222.53,-513.11,8366.97,0.7495,1,19,16,1.6,0.96,3,0.82,197,0.5938,0.7834,1,1,7901,"[""Swiggy""]",23,4.9,29,1.0,0
USR0269,good,"[19079, 18812, 19461, 19104, 17843, 20494]",19132.17,788.54,108.89,8336.46,0.5643,2,13,11,0.3,0.9,3,0.87,209,0.6166,0.7576,1,1,5852,"[""UrbanClap"", ""Zomato""]",31,4.6,26,1.0,0
USR0270,good,"[23463, 24395, 25013, 22892, 23661, 24049]",23912.17,679.37,-39.8,10732.96,0.5512,1,18,16,0.6,0.86,2,0.88,236,0.671,0.7906,1,1,3152,"[""Dunzo""]",47,4.7,23,1.0,0
USR0271,risky,"[7324, 6869, 5561, 12317, 10521, 10828]",8903.33,2441.94,1006.63,6946.7,0.2198,1,17,7,11.9,0.33,0,0.2,73,0.3728,0.7518,0,0,215,"[""Uber""]",1,3.7,15,1.0,1
USR0272,good,"[25425, 25395, 23508, 26485, 25624, 25579]",25336.0,895.84,126.69,10938.0,0.5683,1,23,22,1.1,0.84,2,0.97,206,0.6681,0.7702,1,1,6429,"[""Uber""]",34,4.4,22,1.0,0
USR0273,good,"[38635, 38374, 38191, 38899, 39509, 36980]",38431.33,773.41,-118.91,15748.14,0.5902,2,20,17,0.6,1.0,2,0.8,202,0.6117,0.7237,1,1,7578,"[""Swiggy"", ""UrbanClap""]",45,4.8,24,1.0,0
USR0274,moderate,"[23124, 23666, 22225, 23823, 17660, 20642]",21856.67,2159.07,-823.71,11242.66,0.4856,3,17,12,6.1,0.79,1,0.69,129,0.6108,0.7174,0,1,2456,"[""Dunzo"", ""Uber"", ""UrbanClap""]",16,4.1,23,1.0,0
USR0275,moderate,"[23308, 29643, 26943, 30448, 25466, 31225]",27838.83,2842.83,873.11,15043.38,0.4596,1,23,19,3.5,0.61,2,0.72,144,0.5571,0.7171,1,1,1871,"[""Uber""]",17,4.2,19,1.0,1
USR0276,risky,"[13315, 13897, 9082, 8675, 4506, 14937]",10735.33,3653.49,-584.86,8455.39,0.2124,1,17,7,8.7,0.34,0,0.48,78,0.4956,0.7288,0,0,121,"[""Dunzo""]",4,3.3,10,0.3333,1
USR0277,moderate,"[25511, 26138, 19196, 18789, 27139, 24987]",23626.67,3343.61,-0.69,12495.17,0.4711,2,18,14,5.2,0.65,2,0.58,121,0.5052,0.6415,1,0,2154,"[""Uber"", ""Ola""]",15,3.9,24,1.0,1
USR0278,moderate,"[24914, 32901, 28621, 22650, 29096, 21744]",26654.33,3916.32,-949.6,13374.08,0.4982,2,16,12,4.6,0.71,1,0.52,143,0.5743,0.7986,0,0,711,"[""Dunzo"", ""Ola""]",11,4.0,15,1.0,0
USR0279,good,"[25308, 27622, 25976, 26598, 26198, 26808]",26418.33,719.95,110.0,7175.36,0.7284,3,21,19,0.2,0.8,3,0.91,185,0.6337,0.7971,1,1,2778,"[""Dunzo"", ""Swiggy"", ""Uber""]",32,4.4,24,1.0,0
USR0280,good,"[42095, 43095, 42910, 43291, 42464, 43656]",42918.5,516.17,179.8,13532.34,0.6847,3,17,14,0.1,0.98,4,0.83,198,0.6059,0.7438,1,1,6829,"[""Uber"", ""Swiggy"", ""UrbanClap""]",25,4.8,27,1.0,0
USR0281,moderate,"[25379, 18531, 22255, 17170, 18257, 18263]",19975.83,2893.59,-1185.34,12183.83,0.3901,3,12,8,5.9,0.62,1,0.71,120,0.6292,0.7437,0,1,1872,"[""UrbanClap"", ""Uber"", ""Ola""]",15,4.2,24,1.0,0
USR0282,good,"[36490, 40353, 36740, 41611, 39668, 37302]",38694.0,1950.35,196.46,12689.11,0.6721,1,14,13,1.5,0.89,3,0.83,220,0.6303,0.7859,1,1,7767,"[""UrbanClap""]",40,4.9,23,1.0,0
USR0283,good,"[37497, 36166, 35705, 37095, 38058, 38461]",37163.67,976.54,339.6,12777.01,0.6562,3,13,11,0.1,0.84,3,0.89,226,0.6422,0.6756,1,1,6028,"[""Dunzo"", ""Zomato"", ""Uber""]",19,4.6,27,1.0,0
USR0284,moderate,"[26873, 25738, 26626, 26419, 27076, 24151]",26147.17,986.99,-280.09,12469.37,0.5231,1,21,13,2.2,0.53,2,0.52,118,0.5669,0.7628,0,0,1930,"[""Ola""]",7,4.3,15,1.0,0
USR0285,moderate,"[29999, 26163, 26713, 25400, 22683, 27891]",26474.83,2240.26,-636.94,13351.45,0.4957,2,19,12,6.5,0.55,2,0.57,132,0.6636,0.7908,0,1,2596,"[""Swiggy"", ""Uber""]",22,4.1,20,1.0,0
USR0286,moderate,"[21783, 19916, 18760, 16734, 13955, 20956]",18684.0,2660.05,-686.97,10117.46,0.4585,2,23,16,2.3,0.61,2,0.75,134,0.5167,0.7456,0,0,827,"[""Uber"", ""Dunzo""]",21,4.2,22,1.0,0
USR0287,risky,"[14543, 22154, 17559, 21442, 23936, 14452]",19014.33,3717.07,250.69,14340.12,0.2458,1,18,7,8.3,0.37,0,0.43,64,0.441,0.7353,0,0,454,"[""Dunzo""]",3,3.5,9,0.8333,0
USR0288,good,"[25527, 28920, 27904, 28175, 27864, 28151]",27756.83,1055.82,292.09,7053.1,0.7459,3,17,14,0.4,1.0,2,0.84,220,0.7234,0.7973,1,1,7701,"[""Zomato"", ""Swiggy"", ""Ola""]",40,4.8,23,1.0,0
USR0289,moderate,"[19392, 16940, 15296, 18443, 13032, 21089]",17365.33,2657.54,-2.63,7266.62,0.5815,1,18,14,3.7,0.52,1,0.63,137,0.5365,0.7244,1,1,2815,"[""Dunzo""]",20,4.5,16,1.0,1
USR0290,good,"[20000, 21126, 20919, 20148, 23005, 19345]",20757.17,1165.73,45.46,6672.4,0.6785,3,20,18,2.0,0.92,4,0.89,216,0.6256,0.7461,1,1,6956,"[""Dunzo"", ""UrbanClap"", ""Swiggy""]",35,4.9,28,1.0,0
USR0291,risky,"[17640, 24181, 21018, 9408, 16339, 19091]",17946.17,4567.95,-796.6,12055.01,0.3283,1,20,11,9.8,0.48,0,0.22,87,0.5926,0.6992,0,0,395,"[""Uber""]",6,3.6,6,0.5,0
USR0292,moderate,"[14179, 12822, 13892, 14315, 17851, 10577]",13939.33,2162.39,-71.43,7160.94,0.4863,2,22,16,6.2,0.71,1,0.78,146,0.5865,0.7824,0,0,2314,"[""Zomato"", ""Ola""]",14,4.2,20,0.8333,1
USR0293,risky,"[14135, 20599, 14527, 12082, 10481, 13667]",14248.5,3152.91,-1003.97,10123.1,0.2895,1,16,6,13.3,0.5,0,0.4,79,0.5751,0.6713,0,0,136,"[""Ola""]",5,3.2,10,1.0,1
USR0294,moderate,"[16051, 13222, 16158, 21491, 12820, 15931]",15945.5,2828.29,100.77,8764.34,0.4504,2,17,14,3.7,0.59,2,0.69,135,0.6116,0.6839,1,1,2778,"[""Swiggy"", ""Dunzo""]",18,4.2,18,0.6667,0
USR0295,moderate,"[21922, 22423, 19215, 22358, 20353, 25615]",21981.0,1993.66,439.94,10148.19,0.5383,1,16,11,6.7,0.65,1,0.53,136,0.546,0.8278,0,0,1919,"[""Ola""]",13,4.0,16,1.0,0
USR0296,moderate,"[12200, 19773, 18063, 16663, 20999, 14297]",16999.17,3035.11,364.66,10860.9,0.3611,2,22,17,3.1,0.68,2,0.7,140,0.6143,0.77,0,0,522,"[""Uber"", ""Dunzo""]",11,4.4,17,0.8333,0
USR0297,risky,"[10547, 5363, 10604, 8552, 11256, 6493]",8802.5,2218.67,-132.66,5514.51,0.3735,1,14,6,7.4,0.38,0,0.11,73,0.5261,0.8124,0,0,300,"[""Zomato""]",9,3.9,5,0.6667,1
USR0298,moderate,"[21557, 23309, 27047, 21334, 25563, 26729]",24256.5,2321.39,768.83,10587.29,0.5635,3,23,17,2.1,0.69,1,0.54,139,0.6017,0.7082,1,0,2735,"[""Swiggy"", ""Uber"", ""UrbanClap""]",15,4.1,16,1.0,0
USR0299,moderate,"[12241, 18021, 16104, 15456, 12201, 17278]",15216.83,2269.61,202.2,8862.27,0.4176,3,17,14,4.5,0.58,2,0.52,127,0.6531,0.7536,0,1,2456,"[""Ola"", ""Uber"", ""Dunzo""]",7,4.0,20,1.0,0
USR0300,good,"[23229, 24671, 26893, 22520, 24266, 21699]",23879.67,1677.45,-378.23,10533.09,0.5589,2,22,21,1.1,0.96,4,0.91,187,0.4629,0.7829,1,1,7660,"[""Uber"", ""UrbanClap""]",41,4.7,22,1.0,0
USR0301,good,"[35155, 34335, 36929, 34301, 34300, 34610]",34938.33,939.43,-155.94,11833.66,0.6613,3,18,16,0.0,0.92,3,0.97,218,0.6758,0.7481,1,1,2156,"[""Dunzo"", ""UrbanClap"", ""Uber""]",23,4.7,28,1.0,0
USR0302,moderate,"[14214, 11417, 11331, 13447, 12164, 13816]",12731.5,1147.26,67.63,6588.12,0.4825,3,18,14,5.6,0.55,2,0.55,118,0.5417,0.689,1,0,783,"[""UrbanClap"", ""Ola"", ""Dunzo""]",16,4.2,17,1.0,0
USR0303,moderate,"[15898, 13223, 11694, 11356, 12654, 13835]",13110.0,1505.59,-353.14,8033.71,0.3872,1,16,10,4.9,0.71,1,0.55,116,0.6008,0.7312,1,1,2006,"[""Uber""]",11,3.9,21,1.0,0
USR0304,moderate,"[22501, 18439, 25024, 19673, 23689, 23669]",22165.83,2343.95,463.97,10016.51,0.5481,2,19,14,3.0,0.68,2,0.72,139,0.6484,0.7693,1,1,788,"[""Uber"", ""Dunzo""]",20,4.1,19,1.0,1
USR0305,good,"[29879, 32424, 32587, 31884, 32903, 32546]",32037.17,1011.74,401.97,10007.21,0.6876,2,12,11,0.7,0.84,4,0.8,199,0.6583,0.6822,1,1,2259,"[""Uber"", ""Zomato""]",27,4.7,26,1.0,0
USR0306,moderate,"[24942, 23748, 24537, 24995, 22942, 28806]",24995.0,1848.7,496.0,11190.95,0.5523,3,20,16,5.1,0.78,2,0.72,130,0.5426,0.8151,1,0,2214,"[""Swiggy"", ""Dunzo"", ""UrbanClap""]",13,4.3,19,1.0,0
USR0307,good,"[46399, 46932, 41333, 43930, 44245, 41570]",44068.17,2137.24,-845.97,11728.96,0.7338,2,21,20,0.0,0.84,2,0.86,196,0.6895,0.7732,1,1,7118,"[""Uber"", ""Swiggy""]",19,4.8,26,1.0,0
USR0308,good,"[33784, 33956, 34653, 34958, 35244, 34624]",34536.5,516.83,239.11,13561.75,0.6073,2,17,16,1.4,0.82,4,0.98,199,0.6323,0.7592,1,1,5656,"[""UrbanClap"", ""Uber""]",45,4.9,23,1.0,0
USR0309,good,"[21469, 20249, 22145, 22443, 21768, 23423]",21916.17,966.25,417.86,9191.33,0.5806,2,22,21,1.8,0.88,3,0.83,184,0.6024,0.7505,1,1,2391,"[""Uber"", ""Dunzo""]",39,4.4,25,1.0,0
USR0310,moderate,"[16184, 19275, 17384, 15337, 16316, 17427]",16987.17,1251.91,-134.54,6882.57,0.5948,2,18,12,5.5,0.65,2,0.8,117,0.5419,0.8274,1,0,2496,"[""UrbanClap"", ""Uber""]",11,4.0,16,1.0,0
USR0311,risky,"[21737, 7632, 19392, 21900, 19434, 16261]",17726.0,4886.01,300.97,13864.0,0.2179,1,22,12,14.4,0.24,0,0.38,77,0.5366,0.688,0,0,38,"[""Uber""]",6,3.3,11,0.5,0
USR0312,moderate,"[23637, 24740, 21131, 19178, 25480, 22224]",22731.67,2154.64,-194.23,9821.55,0.5679,3,18,13,6.3,0.8,1,0.51,127,0.6394,0.7345,1,1,1416,"[""UrbanClap"", ""Swiggy"", ""Dunzo""]",19,3.8,18,1.0,1
USR0313,good,"[20816, 19173, 19320, 21703, 20153, 22282]",20574.5,1152.03,361.51,5792.76,0.7184,2,18,17,0.3,0.86,4,1.0,212,0.5517,0.7974,1,1,4552,"[""Uber"", ""UrbanClap""]",15,4.5,29,1.0,0
USR0314,good,"[42693, 40996, 47703, 43312, 42096, 42669]",43244.83,2117.11,-34.6,16220.5,0.6249,3,15,13,0.9,0.87,2,0.98,183,0.6293,0.7108,1,1,5748,"[""UrbanClap"", ""Zomato"", ""Swiggy""]",21,4.7,28,1.0,0
USR0315,moderate,"[17367, 17234, 14393, 19116, 16629, 14771]",16585.0,1609.14,-287.77,7746.54,0.5329,2,14,11,3.3,0.8,1,0.61,119,0.6002,0.8348,1,0,859,"[""Zomato"", ""Swiggy""]",15,4.0,18,1.0,0
USR0316,moderate,"[20899, 19087, 25502, 24692, 25277, 24547]",23334.0,2441.22,1028.57,11352.96,0.5135,3,21,16,3.9,0.52,2,0.52,120,0.4535,0.7979,1,1,941,"[""UrbanClap"", ""Uber"", ""Dunzo""]",6,4.1,17,1.0,0
USR0317,moderate,"[19011, 20743, 30896, 30786, 28374, 27679]",26248.17,4680.53,1889.23,11978.86,0.5436,3,17,14,4.8,0.76,1,0.76,144,0.605,0.7599,1,1,2120,"[""Swiggy"", ""Uber"", ""Ola""]",7,4.3,17,1.0,1
USR0318,good,"[42384, 40089, 39554, 42136, 43460, 39425]",41174.67,1553.27,-60.0,16098.11,0.609,1,16,14,1.9,0.86,4,0.91,203,0.6342,0.7293,1,1,2540,"[""Zomato""]",15,4.4,28,1.0,0
USR0319,good,"[34672, 40051, 35249, 36575, 36861, 34788]",36366.0,1847.31,-218.97,12724.62,0.6501,3,21,19,0.9,0.85,2,0.9,225,0.6564,0.7741,1,1,5915,"[""Zomato"", ""UrbanClap"", ""Swiggy""]",17,4.6,25,1.0,0
USR0320,risky,"[7136, 12754, 14363, 8583, 14191, 6717]",10624.0,3236.18,-101.83,6676.66,0.3715,1,13,4,8.5,0.48,0,0.46,86,0.3843,0.7564,0,0,213,"[""Uber""]",4,3.7,9,0.6667,0
USR0321,risky,"[8360, 4065, 14066, 10943, 10394, 13713]",10256.83,3388.25,1217.97,6221.14,0.3935,1,21,10,6.9,0.38,0,0.16,91,0.5902,0.8259,0,0,157,"[""Uber""]",10,3.6,11,0.6667,1
USR0322,risky,"[24086, 9426, 23652, 7133, 19700, 15488]",16580.83,6553.7,-819.63,12512.19,0.2454,1,14,5,8.0,0.4,0,0.14,89,0.5162,0.8215,0,0,127,"[""Ola""]",3,3.0,7,0.6667,1
USR0323,good,"[28602, 30021, 30013, 30733, 27933, 28750]",29342.0,977.2,-137.26,10947.74,0.6269,2,15,14,1.3,0.85,4,0.9,229,0.6914,0.8119,1,1,2179,"[""Swiggy"", ""Ola""]",46,5.0,26,1.0,0
USR0324,risky,"[17977, 27420, 21562, 23826, 12590, 21585]",20826.67,4646.63,-691.03,16071.26,0.2283,1,18,6,10.4,0.46,0,0.27,87,0.5031,0.6998,0,0,290,"[""Uber""]",3,3.7,13,0.6667,1
USR0325,good,"[39024, 38360, 40528, 40623, 42467, 37187]",39698.17,1720.54,92.31,15391.33,0.6123,3,21,18,1.3,0.81,2,0.99,199,0.729,0.7489,1,1,5217,"[""Uber"", ""Dunzo"", ""Zomato""]",39,4.5,25,1.0,0
USR0326,good,"[36075, 39152, 38231, 40036, 40789, 38893]",38862.67,1491.21,594.46,10609.47,0.727,3,13,12,0.4,0.96,4,0.86,219,0.6737,0.685,1,1,2547,"[""Zomato"", ""UrbanClap"", ""Dunzo""]",34,4.6,24,1.0,0
USR0327,good,"[24781, 24622, 23574, 23430, 25459, 23090]",24159.33,847.32,-173.94,6054.44,0.7494,2,13,12,1.2,0.81,3,0.89,206,0.5995,0.7176,1,1,3996,"[""Uber"", ""Dunzo""]",42,4.9,22,1.0,0
USR0328,risky,"[19264, 10956, 3572, 10568, 15279, 14325]",12327.33,4872.58,-135.14,9320.42,0.2439,1,18,6,7.1,0.45,0,0.35,75,0.4836,0.7444,0,0,391,"[""Swiggy""]",8,3.0,17,0.1667,1
USR0329,good,"[40229, 39976, 40182, 40276, 39989, 36721]",39562.17,1275.68,-497.34,15476.53,0.6088,3,12,10,1.4,0.87,2,0.9,213,0.6514,0.7681,1,1,7465,"[""Swiggy"", ""Zomato"", ""Uber""]",19,4.9,23,1.0,0
USR0330,risky,"[12732, 9583, 18219, 15929, 18374, 10945]",14297.0,3429.63,432.8,9033.7,0.3681,1,22,11,14.8,0.32,0,0.26,81,0.3509,0.8466,0,0,53,"[""Zomato""]",11,3.2,16,0.8333,0
USR0331,moderate,"[19903, 24599, 17027, 19107, 23679, 19374]",20614.83,2660.05,-95.0,11707.74,0.4321,1,19,14,2.7,0.79,1,0.6,137,0.574,0.6815,1,0,2272,"[""Zomato""]",6,4.4,17,0.5,0
USR0332,good,"[38545, 37224, 35847, 35935, 38814, 35503]",36978.0,1318.43,-295.77,13016.22,0.648,1,22,18,0.9,0.92,4,0.99,181,0.6189,0.7907,1,1,5213,"[""Ola""]",35,4.5,25,1.0,0
USR0333,risky,"[15979, 8073, 5493, 12501, 8420, 10533]",10166.5,3382.4,-548.03,8314.69,0.1821,1,13,4,14.7,0.47,0,0.32,81,0.4391,0.7071,0,0,425,"[""Swiggy""]",7,3.6,15,0.1667,0
USR0334,good,"[26242, 26266, 27707, 29746, 26478, 27132]",27261.83,1226.94,203.57,9379.47,0.6559,1,12,11,0.3,0.83,3,1.0,182,0.6304,0.8132,1,1,2351,"[""Ola""]",19,4.7,25,1.0,0
USR0335,moderate,"[14246, 14266, 17456, 12379, 9303, 11069]",13119.83,2604.72,-1024.31,6086.18,0.5361,2,22,14,6.7,0.79,1,0.79,140,0.5909,0.7582,1,0,2086,"[""Zomato"", ""Dunzo""]",20,4.0,19,1.0,0
USR0336,risky,"[11246, 6108, 5598, 15846, 13979, 12202]",10829.83,3803.57,1104.03,8582.4,0.2075,1,20,9,12.3,0.43,0,0.32,76,0.6,0.7014,0,0,127,"[""Swiggy""]",2,3.4,6,0.5,0
USR0337,good,"[20161, 18829, 19615, 19065, 20534, 19754]",19659.67,587.41,72.29,7153.26,0.6361,1,23,21,1.1,0.88,2,0.92,203,0.6257,0.8155,1,1,5126,"[""Dunzo""]",13,4.9,27,1.0,0
USR0338,risky,"[12703, 17532, 16590, 18757, 12114, 8688]",14397.33,3519.5,-976.06,10241.8,0.2886,1,15,6,8.8,0.32,0,0.21,74,0.4279,0.7102,0,0,171,"[""Uber""]",5,3.8,15,0.6667,1
USR0339,moderate,"[34021, 27999, 31088, 25962, 33364, 26652]",29847.67,3163.54,-739.31,16741.1,0.4391,2,21,15,6.4,0.64,1,0.55,128,0.62,0.7913,0,1,1240,"[""Zomato"", ""Ola""]",18,4.4,16,1.0,0
USR0340,moderate,"[16916, 21972, 20020, 24555, 23561, 22253]",21546.17,2502.04,1028.2,13262.25,0.3845,2,12,9,3.0,0.69,1,0.76,138,0.5451,0.8079,1,0,2656,"[""UrbanClap"", ""Dunzo""]",22,4.2,17,1.0,0
USR0341,moderate,"[11181, 14619, 9739, 13293, 11886, 10659]",11896.17,1636.08,-207.29,6799.65,0.4284,1,22,15,3.2,0.64,2,0.56,131,0.6173,0.7692,1,0,1342,"[""Uber""]",19,4.5,23,0.6667,0
USR0342,moderate,"[15945, 12485, 14417, 13165, 14155, 11682]",13641.5,1388.97,-501.63,5764.9,0.5774,3,21,16,6.5,0.7,1,0.71,112,0.4859,0.6708,0,0,2608,"[""Zomato"", ""Swiggy"", ""UrbanClap""]",23,4.2,18,1.0,1
USR0343,good,"[42783, 39281, 41636, 39420, 41661, 39292]",40678.83,1400.61,-358.03,12369.04,0.6959,1,17,16,1.7,0.94,4,0.95,230,0.6457,0.7773,1,1,6348,"[""Ola""]",38,5.0,22,1.0,0
USR0344,moderate,"[15053, 18591, 21451, 25209, 23455, 18269]",20338.0,3414.31,983.71,10430.97,0.4871,1,16,11,2.8,0.57,1,0.57,136,0.6315,0.7402,0,1,1348,"[""Zomato""]",12,3.8,23,1.0,1
USR0345,moderate,"[30674, 31480, 19435, 29100, 30664, 27917]",28211.67,4096.03,-187.66,14360.43,0.491,3,17,11,6.1,0.78,1,0.63,144,0.5864,0.7278,0,1,982,"[""Swiggy"", ""Dunzo"", ""Uber""]",10,4.1,23,0.6667,0
USR0346,moderate,"[13285, 16327, 14280, 15140, 11426, 14794]",14208.67,1543.74,-179.94,7070.51,0.5024,3,14,8,3.4,0.59,1,0.8,128,0.6309,0.6845,1,0,1415,"[""Dunzo"", ""Swiggy"", ""UrbanClap""]",7,3.8,18,1.0,0
USR0347,moderate,"[20009, 22022, 22526, 18500, 22864, 21339]",21210.0,1523.7,147.14,10779.72,0.4918,3,16,9,2.0,0.69,1,0.79,144,0.6595,0.7576,0,1,598,"[""Ola"", ""Uber"", ""Swiggy""]",8,3.9,23,1.0,0
USR0348,moderate,"[27366, 29328, 22843, 24336, 27977, 28271]",26686.83,2306.25,56.14,12788.16,0.5208,1,18,13,2.9,0.67,1,0.56,144,0.5431,0.7045,0,1,1817,"[""Dunzo""]",21,4.3,15,1.0,1
USR0349,moderate,"[29726, 30687, 30377, 33071, 30847, 31611]",31053.17,1062.86,359.97,18319.15,0.4101,1,17,13,3.5,0.54,1,0.58,139,0.6157,0.7808,1,1,1838,"[""UrbanClap""]",16,4.2,20,1.0,0
USR0350,risky,"[11596, 20103, 10626, 5231, 11364, 10850]",11628.33,4367.06,-1009.77,9342.39,0.1966,1,20,7,7.5,0.28,0,0.37,86,0.5912,0.7393,0,0,333,"[""Zomato""]",10,3.2,8,0.3333,0
USR0351,good,"[36999, 34565, 36197, 36727, 34983, 38581]",36342.0,1330.33,276.97,11416.23,0.6859,2,22,21,2.0,0.93,3,0.96,200,0.5692,0.7567,1,1,6390,"[""Ola"", ""Swiggy""]",39,4.4,26,1.0,0
USR0352,moderate,"[16481, 18125, 18877, 20320, 20510, 15339]",18275.33,1888.59,82.51,8535.28,0.533,3,21,15,4.8,0.53,2,0.73,119,0.5914,0.6814,1,1,1918,"[""Uber"", ""Swiggy"", ""Ola""]",22,3.9,19,1.0,0
USR0353,risky,"[18628, 16793, 18063, 17339, 16930, 21593]",18224.33,1635.27,414.63,12328.68,0.3235,1,20,6,11.0,0.5,0,0.11,81,0.3747,0.6643,0,0,376,"[""Ola""]",8,3.4,8,1.0,1
